Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
The Sixth Sense,1999,PG-13,06 Aug 1999,107 min,"Drama, Mystery, Thriller",M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette","After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.","English, Latin, Spanish",United States,Nominated for 6 Oscars. 37 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BZWQ2OTY0M2UtMTQxNC00MmIzLTllNDQtNDQ0MTQyYzI2M2ZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,8.2,"1,103,030",tt0167404,movie,N/A,"$293,506,292",N/A,N/A,True
The Departed,2006,R,06 Oct 2006,151 min,"Crime, Drama, Thriller",Martin Scorsese,"William Monahan, Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"English, Cantonese","United States, Hong Kong",Won 4 Oscars. 100 wins & 141 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.5,"1,493,929",tt0407887,movie,N/A,"$132,399,394",N/A,N/A,True
The Shawshank Redemption,1994,R,14 Oct 1994,142 min,Drama,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",English,United States,Nominated for 7 Oscars. 21 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,9.3,"3,075,711",tt0111161,movie,N/A,"$28,767,189",N/A,N/A,True
Midsommar,2019,R,03 Jul 2019,148 min,"Drama, Horror, Mystery",Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"English, Swedish","United States, Sweden",27 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.1,"448,411",tt8772262,movie,N/A,"$27,426,361",N/A,N/A,True
Mystic River,2003,R,15 Oct 2003,138 min,"Crime, Drama, Mystery",Clint Eastwood,"Brian Helgeland, Dennis Lehane","Sean Penn, Tim Robbins, Kevin Bacon","The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",English,"United States, Australia",Won 2 Oscars. 57 wins & 144 nominations total,https://m.media-amazon.com/images/M/MV5BMTIzNDUyMjA4MV5BMl5BanBnXkFtZTYwNDc4ODM3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.9,"505,706",tt0327056,movie,N/A,"$90,135,191",N/A,N/A,True
Prisoners,2013,R,20 Sep 2013,153 min,"Crime, Drama, Mystery",Denis Villeneuve,Aaron Guzikowski,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,English,United States,Nominated for 1 Oscar. 10 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,8.2,"882,169",tt1392214,movie,N/A,"$61,002,302",N/A,N/A,True
The Prestige,2006,PG-13,20 Oct 2006,130 min,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest","Christian Bale, Hugh Jackman, Scarlett Johansson",Rival 19th-century magicians engage in a bitter battle for trade secrets.,English,"United Kingdom, United States",Nominated for 2 Oscars. 6 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,8.5,"1,521,166",tt0482571,movie,N/A,"$53,089,891",N/A,N/A,True
The Game,1997,R,12 Sep 1997,129 min,"Drama, Mystery, Thriller",David Fincher,"John Brancato, Michael Ferris","Michael Douglas, Deborah Kara Unger, Sean Penn",A mysterious game invades a man's ordered existence.,"English, Cantonese, German, Spanish, Thai",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BNGUzNzQwNmMtNzI3Mi00ZDIwLWJlM2ItMTA5N2Q2ZDMxMjJiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.7,"455,946",tt0119174,movie,N/A,"$48,323,648",N/A,N/A,True
A Clockwork Orange,1971,R,02 Feb 1972,136 min,"Crime, Sci-Fi",Stanley Kubrick,"Stanley Kubrick, Anthony Burgess","Malcolm McDowell, Patrick Magee, Michael Bates",Alex DeLarge and his droogs barbarize a decaying near-future.,English,"United Kingdom, United States",Nominated for 4 Oscars. 12 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,8.2,"916,389",tt0066921,movie,N/A,"$26,617,553",N/A,N/A,True
Sinners,2025,R,18 Apr 2025,137 min,"Action, Drama, Horror",Ryan Coogler,Ryan Coogler,"Michael B. Jordan, Miles Caton, Saul Williams","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","English, Chinese","United States, Australia, Canada",10 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNjIwZWY4ZDEtMmIxZS00NDA4LTg4ZGMtMzUwZTYyNzgxMzk5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.7,"221,289",tt31193180,movie,N/A,"$278,578,513",N/A,N/A,True
The Brutalist,2024,R,24 Jan 2025,216 min,Drama,Brady Corbet,"Brady Corbet, Mona Fastvold","Adrien Brody, Felicity Jones, Guy Pearce",A visionary architect flees post-war Europe in 1947 for a brighter future in the United States and finds his life forever changed by a wealthy client.,"English, Hungarian, Italian, Hebrew, Yiddish, Russian, French","United States, United Kingdom, Canada",Won 3 Oscars. 136 wins & 344 nominations total,https://m.media-amazon.com/images/M/MV5BM2U0MWRjZTMtMDVhNC00MzY4LTgwOTktZGQ2MDdiYTI4OWMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.4,"85,879",tt8999762,movie,N/A,"$16,279,129",N/A,N/A,True
Memento,2000,R,25 May 2001,113 min,"Drama, Mystery, Thriller",Christopher Nolan,"Christopher Nolan, Jonathan Nolan","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,English,United States,Nominated for 2 Oscars. 57 wins & 59 nominations total,https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.4,"1,389,289",tt0209144,movie,N/A,"$25,544,867",N/A,N/A,True
Ice Merchants,2022,N/A,16 Feb 2023,14 min,"Animation, Short, Drama",João Gonzalez,João Gonzalez,N/A,"Every day, a father and his son jump with a parachute from their vertiginous cold house, attached to a cliff, to go to the village on the ground, far away where they sell the ice they produce daily.",None,"Portugal, United Kingdom, France",Nominated for 1 Oscar. 30 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BY2I1NTg1NjgtNDI4MS00NmI4LTk2ZWYtMzQ3NzdjZGJlYzFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"3,021",tt19781688,movie,N/A,N/A,N/A,N/A,True
Inglourious Basterds,2009,R,21 Aug 2009,153 min,"Adventure, Drama, War",Quentin Tarantino,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","English, German, French, Italian","United States, Germany",Won 1 Oscar. 134 wins & 173 nominations total,https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.4,"1,701,388",tt0361748,movie,N/A,"$120,540,719",N/A,N/A,True
Nope,2022,R,22 Jul 2022,130 min,"Horror, Mystery, Sci-Fi",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Brandon Perea",The residents of a lonely gulch in inland California bear witness to an uncanny and chilling phenomenon.,"English, Spanish","Canada, Japan, United States",43 wins & 180 nominations total,https://m.media-amazon.com/images/M/MV5BODRlNWRhZWUtMzdlZC00ZDIyLWFhZjMtYTcxNjI1ZDIwODhjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,6.8,"300,946",tt10954984,movie,N/A,"$123,277,080",N/A,N/A,True
Us,2019,R,22 Mar 2019,116 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Lupita Nyong'o, Winston Duke, Elisabeth Moss","In order to get away from their busy lives, the Wilson family takes a vacation to Santa Cruz, California. At night, four strangers break into Adelaide's childhood home. The family is shocked to find out that the intruders look lik...",English,"United States, China, Japan",86 wins & 135 nominations total,https://m.media-amazon.com/images/M/MV5BMzhkMjFkN2YtODU2Ni00YWYwLWExN2MtOWNjZmQxM2U4YTM5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.8,"366,396",tt6857112,movie,N/A,"$175,084,580",N/A,N/A,True
Plane,2023,R,27 Jan 2023,107 min,"Action, Adventure, Thriller",Jean-François Richet,"Charles Cumming, J.P. Davis","Gerard Butler, Mike Colter, Tony Goldwyn",A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,"English, Tagalog","United Kingdom, United States, Puerto Rico",N/A,https://m.media-amazon.com/images/M/MV5BNDAyYjZmNjctOWE2Mi00ZDBiLWE2YjEtMWM1YmM0NmYzOGQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.5,"93,594",tt5884796,movie,N/A,"$32,111,181",N/A,N/A,True
Rogue One: A Star Wars Story,2016,PG-13,16 Dec 2016,133 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Chris Weitz, Tony Gilroy, John Knoll","Felicity Jones, Diego Luna, Alan Tudyk","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",English,United States,Nominated for 2 Oscars. 24 wins & 85 nominations total,https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.8,"731,449",tt3748528,movie,N/A,"$533,539,991",N/A,N/A,True
Se7en,1995,R,22 Sep 1995,127 min,"Crime, Drama, Mystery",David Fincher,Andrew Kevin Walker,"Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",English,United States,Nominated for 1 Oscar. 29 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,8.6,"1,929,288",tt0114369,movie,N/A,"$101,040,643",N/A,N/A,True
Housefull 2,2012,Not Rated,05 Apr 2012,145 min,"Action, Comedy, Drama",Sajid Khan,"Tushar Hiranandani, Sajid Khan, Sajid Nadiadwala","Akshay Kumar, John Abraham, Asin Thottumkal",A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.,Hindi,India,15 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMDQ4ODFhZTMtMWU1My00YzhkLWJhNDgtNDI4ODg0ODNiOTYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",N/A,5.4,"16,357",tt1980986,movie,N/A,"$1,791,780",N/A,N/A,True
F1: The Movie,2025,PG-13,27 Jun 2025,155 min,"Action, Drama, Sport",Joseph Kosinski,"Ehren Kruger, Joseph Kosinski","Brad Pitt, Damson Idris, Javier Bardem",A Formula One driver comes out of retirement to mentor and team up with a younger driver.,English,United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BZTYwYjJhNzYtY2ZiZS00ZmYxLWJkZjctYjRlNGIxYjI3ZTU0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.9,"109,496",tt16311594,movie,N/A,"$142,281,913",N/A,N/A,True
The Machinist,2004,R,03 Dec 2004,101 min,"Drama, Thriller",Brad Anderson,Scott Kosar,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón",An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"English, Spanish","Spain, United States",7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BY2I1MmUxYmMtZjk3OC00N2MwLWI2YjAtNGQxODA1Y2I3YTI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.6,"432,008",tt0361862,movie,N/A,"$1,082,715",N/A,N/A,True
Fantastic Four: Rise of the Silver Surfer,2007,PG,15 Jun 2007,92 min,"Action, Adventure, Fantasy",Tim Story,"Don Payne, Mark Frost, John Turman","Ioan Gruffudd, Jessica Alba, Chris Evans",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,"English, Japanese, Chinese, Arabic","United Kingdom, Germany, United States, Hong Kong, China, Thailand, Canada",3 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BNmZmMTU0OGQtOWRmNS00ZjA1LWJkM2EtYmUwNGEzMjIyZDM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.6,"288,552",tt0486576,movie,N/A,"$131,921,738",N/A,N/A,True
Star Wars: Episode V - The Empire Strikes Back,1980,PG,18 Jun 1980,124 min,"Action, Adventure, Fantasy",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",English,United States,Won 1 Oscar. 27 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.7,"1,454,664",tt0080684,movie,N/A,"$292,753,960",N/A,N/A,True
Goodfellas,1990,R,21 Sep 1990,145 min,"Biography, Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","English, Italian, Hebrew, Yiddish",United States,Won 1 Oscar. 44 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,8.7,"1,332,607",tt0099685,movie,N/A,"$46,909,721",N/A,N/A,True
